Finished,ResponseId,Consent,US,Condition,Why,Continue,Reverse,Interest,Politics,Sex,Vegan
1,R_3dKzQkDGnyyJasv,1,1,2,,Possibly. I think the economy downturn has a big effect on this.,,4,4,2,2
1,R_O8rbDTkyz23I449,1,1,2,,New studies about the benefits of reducing meat consumption,,4,6,2,2
1,R_vV3RKStK6zbMH5L,1,1,3,,,"The trend, or fad of thinking meat is bad will decrease. Increasing the consumption of meat",1,5,1,2
1,R_3ERLkCYntCNJMYd,1,1,3,,,I think new studies will come out explaining why meat consumption is good for your health and people will start eating more.,4,4,2,2
1,R_31yGQyR2oe0rzTX,1,1,2,,Vegans. Plant based diets are part of a fad,,1,7,2,2
1,R_2RWaRyIzO5klLGl,1,1,3,,,People will realize that meat is a necessity ,1,7,2,2
1,R_9XHuiTUHVLj1kxb,1,1,1,People tend to develop a habit of overeating. It’s hard to break a habit.,,,6,5,2,2
1,R_3kCdma3Tpri3mUo,1,1,1,"There are many vegetarians, vegans, those that think that meat is bad for you. ",,,3,6,2,2
1,R_3m8dKelMmK3sHUR,1,1,2,,People are more conscientious of what they put into their body as well as how they perceive animals are being treated. There are many supplements and foods available now that allow people to be healthy even when they limit their meat consumption.,,1,5,2,2
1,R_3MnjUVzgy7jme48,1,1,3,,,More information out there about eating Quality Meat and fats as opposed to carbs,1,6,2,2
1,R_2wh0wNAZQtADn6s,1,1,1,"Info about the harms of a meat-heavy diet are slow to spread, and beyond that, Americans love their meat",,,3,5,2,2
1,R_3ixVmExaMhEFlQP,1,1,2,,"People become mor aware of animal cruelty, and it’s not a price worth paying to eat meat. Also, a lot more people are embracing clean eating and cutting back on meat consumption",,6,4,2,2
1,R_9KRpuRNxdrh5BLz,1,1,2,,Kids eat what their parents eat. The trend will continue through generational traditions ,,2,6,2,2
1,R_1kMspR58JKmcMXw,1,1,3,,,Because people like meat and probably feel like it’s their best source of protein.,7,6,2,2
1,R_xsjyZvLQdMbNj6V,1,1,1,As Americans we like to eat meat and it's hard for us to stop something that we have some for years.,,,2,4,2,2
1,R_1luTdpcvVirKwgM,1,1,3,,,"Honestly, I have no idea. Possibly it’s just a trend that tends to cycle throughout society?",5,6,1,2
1,R_OBgDRFUn767Nbbz,1,1,1,older people,,,3,2,2,1
1,R_2E3JsyVoHsKHZeU,1,1,1,I think that may be the 30% of people who are more deliberate with their eating habits. ,,,2,2,2,2
1,R_Wj2XBTFLmhruhz3,1,1,3,,,"Because like many trends, it runs its course and then goes back to the way things were before. Or worse because people not eating meat will possibly over-do meat consumption to make up for lost time I guess",7,4,2,2
1,R_3nTLGLlhMR6a149,1,1,2,,People care about their health now more than any other time. ,,1,2,1,2
1,R_3nUV6OyvMvftVih,1,1,2,,Bloggers,,6,2,1,2
1,R_bsKaJOSBjsfN3pv,1,1,1,Because we are a meat driven society; meat is found in a lot of fact food as well. Some people eat less meat because of dietary reasons. ,,,3,6,2,2
1,R_1MTTxe6KOR8JNf3,1,1,FALSE,,,,6,6,2,2
1,R_2YeT0vbpDO0VSUn,1,1,2,,It's considered a pro-environmental behavior and people are starting to care about the planet more.  It's also literally just becoming more popular as a health trend that people will continue to pick up on.,,6,3,2,2
1,R_3kNbTmmTEiXcNmn,1,1,1,Because meat is expensive and people are trying to save money.,,,5,3,1,2
1,R_2ux4t2xKjkMlAyW,1,1,1,Faith ,,,2,4,2,2
1,R_3fVs1o3UaXes4cr,1,1,2,,Dieting and healthy lifestyles are becoming more mainstream. (Yoga is really big now as an example),,2,6,1,2
1,R_27PyG8ebfIRpNfp,1,1,3,,,"I couldn't really say. If I had to guess I'd say that any fad diets come to a point when they are no longer the fad. Right now it's popular to be vegan or vegetarian. The serious ones will stick with it, but those doing it because the crowd is will eventually give it up. ",2,5,2,2
1,R_22M7879v4qQNmy1,1,1,1,I think that many people do not think amour their diet in a meat limiting way very often. I think that people who have strict diets mainly think about the nutrients involved rather than with a purpose of limiting meat,,,5,5,2,2
1,R_czRvrP1aZtDt4Od,1,1,2,,People are becoming more aware of what is put into the meat industry and also learned that eating less meat makes you feel healthier and more energized.,,7,4,2,1
1,R_2VIUj4BuwFsD6rV,1,1,3,,,People enjoy meat and it tastes delicious.,5,6,1,2
1,R_3E2adUopMbhxdVT,1,1,3,,,"Meat may become less expensive, there might be research saying meat is not as bad for individuals as they previously thought, maybe the estimates are wrong and the trend might continue, it could also be that the way the data was collected made it appear that there was an upward trend when there really wasn't. I'd have to read the research to have a better idea. You have provided very little info here.",3,4,2,2
1,R_2YzXXCWe9XPeShx,1,1,2,,environmental - how people were raised ,,3,4,2,2
1,R_1GByZg25tG2FQnu,1,1,1,Because too much animal meat is bad for you.,,,4,5,2,2
1,R_238DsXCAi0hSgcX,1,1,2,,People think meat is fattening and has cholesterol in it - which is unhealthy. Also meat is expensive and people may not be able to afford it.,,3,6,2,2
1,R_pyHKn2apBhxgfsJ,1,1,1, Because we have been conditioned to think we need to eat meat as the main part of our meal. The 30% represents those who know that this type of thinking is incorrect. ,,,6,4,2,2
1,R_25RRS9W0zF5ITO5,1,1,1,Percentage of persons trying to loose weight ,,,2,6,2,2
1,R_pzSgr4XTelFe8UN,1,1,2,,Public awareness on the effects of red meats on cholesterol and heart disease,,5,5,2,2
1,R_1M6YURfenX4E1hs,1,1,3,,,Fads come and go... the last diet craze was juice fasts... now it’s Keto... It’s all where the advertising dollar goes,2,5,2,2
1,R_1d0KBeu0r8ann9W,1,1,3,,,I think that the trend may slow or reverse in the future because trends tend to only last for a certain amount of time and this trend may have lived it's life. Another reason could be that meat has recently successfully grown from stem cells so people will be less opposed to eating meat if was created rather than from a dead animal. ,1,5,2,2
1,R_OxRrs6VMGf9570Z,1,1,1,Either vegans or vegetarians want to respect animal rights or feel like they get more energy from non meat products  ,,,3,3,2,2
1,R_2zZSDS1MXSiw6rm,1,1,3,,,I think it will not slow or reverse.  ,7,1,2,1
1,R_2VJSeStuxUrBDTy,1,1,1,Hormones and antibiotics fed to the animals. ,,,7,6,2,2
1,R_1jJvU5y7EqwuzWO,1,1,3,,,Health Trends tend to be cyclical. ,2,5,2,2
1,R_2wtyk7JhB0quIMw,1,1,2,,Environmental concerns and opposition of animal farming ,,2,6,2,2
1,R_RaVEccESxgcHvlD,1,1,1,Health reasons. More would do it if we could make fake meat taste better.,,,7,1,2,1
1,R_1pRNUZiiNfI8gm1,1,1,1,Group mind think influence ,,,1,1,2,2
1,R_3NEW8ozVSMgjek5,1,1,3,,,health conscious reasons,4,5,2,2
1,R_xzkKA7wrlSmIqRz,1,1,3,,,Because meat is delicious and easy.,2,4,1,2
1,R_DCUt2K1w8BoSD2p,1,1,1,"A good majority of society do not care to limit their meat intake, but there is also a small percentage of people that do.",,,2,1,2,2
1,R_20Y7kGJuDVcsLsL,1,1,2,,Yes,,2,6,2,2
1,R_3GCDRmOBKNDUTk7,1,1,2,,Meat is expensive.,,3,5,2,2
1,R_2EovA1fAMUdb7UD,1,1,1,New knowledge of healthy foods,,,2,5,2,2
1,R_2uKGcMmrVufbtuR,1,1,3,,,"Demographic shifts; relative costs of different kinds of foods (eg, meat may get cheaper due to new technology); ""ethical"" meat (ie, lab grown)",4,3,2,2
1,R_TbmyDZ2SNzLFbMd,1,1,3,,,"Likely because good quality meat (organic/free range/grass-fed/grass-finished, etc) options are becoming more readily available and well known. ",3,5,2,2
1,R_24wMPYTOStaOnjY,1,1,1,"Meat is delicious but you don't need that much of it to meet your dietary needs, so people probably need to restrict their intake. ",,,6,6,2,2
1,R_1fg9WZk7Sb97y1y,1,1,2,,"Environmental factors. If your mom makes it for you, you eventually make it for your kids. ",,3,4,2,2
1,R_DiTrszRjlh3MAHn,1,1,3,,,"Animal rights activists, hormones, synthetics feed and fillers a lot food trends limit meat already and moved to more plants fruit based diets",2,6,2,2
1,R_2fpoCZFhh2Np5Ey,1,1,3,,,"People find that eating meat would give them greater chances of survival. With the possible oncoming of WW3, things like vegetables and such, would be contaminated with radiation or even just poison in general. And also, meat is really good. I can make a killer steak. ",1,4,2,2
1,R_3mlyPlioLR7Ksdy,1,1,1,Because only 30 percent of humans care. The other 70 percent don’t care and like meat. ,,,4,6,2,2
1,R_1lc8QcTqhaCNWf2,1,1,3,,,Increase in population. ,7,4,1,2
1,R_1ILz5UwTAlvskGh,1,1,1,To limit fat consumption.,,,1,7,2,2
1,R_2ZIDv5gGnL2aCEG,1,1,3,,,The amount of these animals will decrease which will raise the price,4,3,2,2
1,R_1MR6ZRlrjfecZrD,1,1,1,I’d guess that this is a parallel with the number of people that maintain active lifestyles and workout regularly,,,4,6,1,2
1,R_3kIf86hFpzXObHB,1,1,2,,I think it will continue to go up,,4,4,2,2
1,R_3Lhc3jkIneRLvIC,1,1,1,Because meat is awesome!,,,1,5,1,2
1,R_25zPeCMMRUBjvM6,1,1,3,,,Meat is a great source of protein.,2,6,2,2
1,R_3HBOuwNSqR6EEGs,1,1,2,,Meat is expensive and red meat tends to be fairly unhealthy for those with heart issues ,,1,5,1,2
1,R_2e2OeCTqMpWydiy,1,1,3,,,"Meat fills up people more, and it has most of our essential daily vitamins ",4,4,2,2
1,R_XmI6YSM1pZbrnFv,1,1,1,Animal rights activists and promotion of healthy vegetarian options. ,,,1,5,1,2
1,R_1mz3eXPamGZnEZ9,1,1,2,,People in general are becoming more aware of nutrition. ,,1,7,2,2
1,R_yC44iM0BPomDZFn,1,1,2,,Meat is expensive,,4,3,2,2
1,R_2VDSvik35geX3kY,1,2,FALSE,,,,,,,
1,R_0oKhBlj6i5Vl36p,1,2,FALSE,,,,,,,
1,R_1DIitxdM7AJms3J,1,1,3,,,"Subsidies, food deserts, and fast food/restaurants",4,4,2,2
1,R_1rlkgb64ba6tEHg,1,1,3,,,I think it’ll stay about the same.,4,6,2,2
1,R_1g7xmWX0z4aM6BE,1,1,2,,Because less meat is health for the heart,,1,6,2,2
1,R_28CftCRPqu0urR4,1,1,2,,"don't know..i love meat!!
",,1,4,2,2
1,R_3IQCjApzstEQO6d,1,1,3,,,More low carb/ high protein diets ,1,4,2,2
1,R_24oP2Jt9mlNokJr,1,1,1,not everyone believes meat is unhealthy. 30% think meat is unhealthy ,,,2,4,2,2
1,R_3ET3XrLq3MJxrIH,1,1,1,It should be more but because marketing for meat is so strong it's hard to limit meat. ,,,7,6,2,2
1,R_3RydcclrspXtWz3,1,1,2,,"More people are becoming conscious of the extensive toll meat production takes on resources such as land and water. Also, meat is becoming more expensive, so limiting meat consumption helps save the environment and money. ",,4,5,2,2
1,R_74odJDF7UdPvzEd,1,2,FALSE,,,,,,,
1,R_2amzZdxnc3OM3Kp,1,1,3,,,It will slow ,1,6,2,2
1,R_3ESy1hYXCtoUy3Q,1,1,3,,,People like meat.,4,4,2,2
1,R_3McIuF83oARpZSu,1,1,2,,"I think we are realizing that we can get protein through other resources. Also, cost of meat probably plays a factor.",,5,4,2,2
1,R_3Pe2eO7Zi361Quu,1,1,1,"I've heard about how meats have the saturated fats, which isn't good for you. I would bet that people are limiting it for that reason.",,,3,5,2,2
1,R_3JL87GaJJIkqIoI,1,1,3,,,Veganism is a fad. But I think it'll increase in popularity before it falls.,1,7,1,2
1,R_XMUBa2MzXGPc0vf,1,1,2,,There’s more info about the bad things such as growth hormones going into meats. Also there is information spread about the poor treatment of animals,,7,4,2,1
1,R_3D6mNWghrlBdt9h,1,1,2,,Health concerns,,2,1,2,2
1,R_30dkc8Dt6ZNALKA,1,1,1,"Because not enough people realize that meat is unnecessary. They have been taught to believe it is vital and healthy when in reality it is just taking up food space on a plate that could be for something healthier, like veggies.",,,7,6,2,2
1,R_1fcNWqlsEC6rHHQ,1,1,3,,,"Concern about fats in meats, more people with kidney disease and too much meat is toxic to the kidneys...",4,2,2,2
1,R_TjRNF0ip9sMSMW5,1,1,3,,,It's more continent to receive all your nutritions with a balanced diet instead of trying harder to reach it without meat,4,4,2,2
1,R_1gjaXSfKAiHgJIV,1,1,1,No idea,,,1,5,2,2
1,R_2VEEUt8tVXou9Pv,1,1,1,It is portion control in relation to other food groups eaten at meals,,,7,5,2,2
1,R_339aZwGHzeglAbF,1,1,3,,,"Possibly the popularity of “paleo” and low carb diets, along with cheaper ways to produce meat in the future (scientifically grown meat, etc).",2,2,2,2
1,R_OrQDJwTWqAYANNv,1,1,2,,Because people are crazy,,1,7,2,2
1,R_1mmeoZGlejiApsB,1,1,2,,Yes,,4,6,2,2
1,R_USGUkdz6Mp4E5Tr,1,1,1,Because those people are vegetarians or on a diet,,,2,6,2,2
1,R_UfHYF6QpwjRTXQB,1,1,2,,"Healthy concerns, as well being more aware of what we consume. ",,4,2,2,2
1,R_RJsIOvR4zgs6iQN,1,1,3,,,This would probably be due to good trends. Industrial meat production has been a popular topic over the last 5 or so years. ,5,4,2,2
1,R_1r1uZ4c12tc5e4Y,1,2,FALSE,,,,,,,
1,R_1BVrgZliny5Qcy2,1,1,1,Healthier lifestyle or also could be a religious belief ,,,6,2,2,2
1,R_2cCuzsFFfz280qe,1,1,1,Because people are concerned about health impacts of eating meat and effect on environment,,,1,2,2,2
1,R_2Cp6JTmRZLcecmI,1,1,3,,,Killing off animals and not pro creating enough to supply,1,4,2,2
1,R_3QuLMTa25eXyNuV,1,1,2,,"A desire for health maybe, but social media trends probably contribute quite a lot. ",,1,3,2,2
1,R_2v9cE6KnMUIp1UD,1,2,FALSE,,,,,,,
1,R_1H8KLy97L6iCHJw,1,1,2,,Because people are learning healthier ways to eat. ,,1,6,2,2
1,R_1lm0H6OSl8TD0Kr,1,1,3,,,I’m not sure. ,1,5,2,2
1,R_tWlpr3jXD69ggmZ,1,1,2,,Research,,1,5,2,2
1,R_3HicjtaIIOWR8pQ,1,1,1,"Religious beliefs, dietary preferences, ethical and moral beliefs",,,2,1,1,2
1,R_Re1tpevta2rcT1T,1,1,2,,Ecological concerns (e.g. climate change). Ethical concerns about the meat industry. ,,1,2,1,1
1,R_1CIasamGy6FThZK,1,1,1,A lot of people are going on crazy diets,,,4,6,2,2
1,R_3dKfJUJCQUCh7OH,1,2,FALSE,,,,,,,
1,R_1JRfyt2v9guFlzB,1,2,FALSE,,,,,,,
1,R_x01Wh2vPzGhzWDf,1,2,FALSE,,,,,,,
1,R_3MGuZSsDAqq45zT,1,1,3,,,People get tired of no meat and new studies will show its benefits.,3,2,2,2
1,R_vPi6VEt9PmuLflD,1,1,2,,Health reasons ,,4,5,2,2
1,R_3sBqITvz5RmRQ7a,1,1,1,Pork,,,5,3,2,2
1,R_3fJk12boTh0T6xI,1,1,3,,," Since people go through health phases, they want to eat really healthy but after awhile stop ",4,4,2,2
1,R_22QgnDr6AjJNAhx,1,1,2,,More animal rights leaving people also concerned about footprint and eating meat is thought to increase it.,,1,6,2,2
1,R_2EubvAw0Q9fTZOz,1,1,3,,,"Because food consumption follows trends and, just like fashion, goes from one extreme to the other.

Also, I believe the increase will be due to the fact that we will have access to cloned meat. ",7,4,2,1
1,R_1GQtA4ji7bHy4lt,1,1,2,,Because people are becoming more aware about healthy eating. ,,4,4,1,2
1,R_27DX7tqa7qhi61D,1,1,1,Only self educated on the topic are paying attention to what is going on in this area,,,5,4,1,2
1,R_2aXOK0cfbYhtSDO,1,1,1,Dietary habits are not main stream. People who are focusing in meat either have a health issue or are working on healthy lifestyle goals.,,,5,4,2,2
1,R_3hgLpNqUMbgx5Qg,1,1,1,Concerns regarding the treatment and care of mass produced animals.,,,3,4,2,2
1,R_1o72gU6HTJCsw4e,1,1,3,,,People in the US are busy and like to eat out for convenience. There are very limited vegetarian options at fast food restaurants and limited options at sit down restaurants. ,4,3,2,2
1,R_2QFpdcSmyI1S4ik,1,1,2,,"Because new ""fads"" and ""diets"" are coming out all the time telling everyone to stop or limit meat consumption (vegan, vegetarian, THM, etc). The culture in the United States right now is encouraging everyone (especially women) to be as fit and strong as possible. Often, I have seen that people will go to extreme lengths and do whatever the newest diet is, no matter the demands or costs. ",,1,5,2,2
1,R_2tnxigbsmfN5cqe,1,1,2,,"More knowledge about the torture and abuse our ""meat"" goes through while still alive is becoming available.",,7,2,2,2
1,R_10BZevOcQvCLoxM,1,1,2,,Public are trying to get into healthier eating habits.,,4,4,2,2
1,R_ZwqAEgKhboI2FQR,1,1,1,There is a trend for Vegan/Paleo based diets right now. It’s only 30% because the majority love meat too much to take it out of their diets. ,,,5,4,2,2
1,R_3nxiKRmUXLBe2B9,1,1,3,,,Protein is meat but some vegetarians are changing their habits by eating meat. Plus a balanced diet should consist of meat veggies & grains.,1,4,2,2
1,R_s7pTLsyazF0rBoR,1,1,1,"people still love their meat.  They resist giving it up.  Ground turkey, with some extra seasoning, is just as good as ground beef.",,,7,2,2,2
1,R_1DZrvizost7rnk7,1,1,2,,People might become more aware of animal ethics and the environment.,,7,3,2,1
1,R_1K1m2fltZdKRbuV,1,1,3,,,"It may slow down, but I don't think it will reverse. It seems like veganism and vegetarianism has turned into a health and ethical trend among younger generations. However, usually trends slow down after a while. I still don't think it will reverse, especially as diets limit meat for health benefits.",4,4,2,2
1,R_3s0Vpz1lomqdjm6,1,1,1,People who follow the word of wisdom or are vegetarians,,,3,6,2,2
1,R_2QtvHWX6zSX5oWK,1,1,2,,People are realizing meat is not good for the environment ,,6,3,2,2
1,R_2xEKK9DbE5AbNz3,1,1,3,,,"Many dietary habits are fads, and change when the promised benefits are not realized. ",4,4,2,2
1,R_1C1FzyxCeustN8V,1,1,1,"The top 3 reasons
1) Moral reasons
2) Wanting to be healthy
3) Effort to be economical",,,2,4,1,2
1,R_1M6exjA1nV9HBZd,1,1,2,,Yes,,3,4,2,2
1,R_BWacbzyCa7TqW0V,1,1,3,,,Because more people are becoming vegan/vegetarian ,4,3,2,2
1,R_3O66I8Cuy9GySaf,1,1,3,,,We will see the benefits of eating meat in larger quantities--just like any other dietary trend. ,1,6,2,2
1,R_BD5lLQziqS0L6ZX,1,1,1,Because of diet fads that restrict meat. ,,,1,4,2,2
1,R_1FIAFFIdCgtxT2j,1,2,FALSE,,,,,,,
1,R_3PB6dfcP1OrF5oR,1,1,2,,People are trying to eat healthier or don’t trust how the meat is processed.,,4,6,2,2
1,R_ujC0U7RwK6xCla1,1,1,1,Religious reasons,,,1,1,2,2
1,R_1CqmK3JiVcKphae,1,1,3,,,I would purchase the features for me in the future,7,4,1,2
1,R_1mh1HGIP1hc5bnb,1,1,3,,,Paleo and keto diets. High protein/low carb diets becoming a popular way to lose weight. ,1,7,2,2
1,R_3D1oWOTQezjYoFq,1,1,1,"Religious beliefs and health reasons increase the rate, but laziness lowers the rate.",,,5,4,2,2
1,R_2TFZRXAv6NKx2Jx,1,1,3,,,"Conflicting research results; we need more protein in our diets & less junk food, so more meat.  Less, because of implications of cancer & heart disease.  Can't win situation!",1,4,2,2
1,R_3hlTcZnXwrLjupI,1,2,FALSE,,,,,,,
1,R_31N6QubeWrbQezf,1,1,1,Because the cost of meat is so high,,,3,6,2,2
1,R_3kk5641e0PVzW4G,1,1,3,,,New studies will show meat isn’t bad for you ,3,3,2,2
1,R_2RTU29bDH0876dq,1,1,1,10 million ,,,5,4,2,2
1,R_3ehwkDcE2Pzz7t7,1,1,2,,Fear of cardiovascular disease ,,2,3,2,2
1,R_7UuWHFFQkEbnIvT,1,1,1,Meat is traditionally central to a meal and fresh produce is expensive,,,4,5,2,2
1,R_1PZ5ku3dXCIwfvR,1,1,2,,Increased awareness of association between eating red meat and consequential heart-related and health-related diseases,,6,3,2,2
1,R_2QVSUyGMB87sp6U,1,2,FALSE,,,,,,,
1,R_2YLChx16sKDNQHa,1,1,3,,,Social media,4,4,2,2
